ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-01-03,221.00137138011638,222.01321520711792,243.4248453434524,221.00137138011638,221.00137138011638,11.67333499635177,11.67333499635177,11.67333499635177,2.129842555083069,2.129842555083069,2.129842555083069,9.5434924412687,9.5434924412687,9.5434924412687,0.0,0.0,0.0,232.67470637646815
2025-01-06,221.1867429921388,220.79109982859262,241.2748705221968,221.1867429921388,221.1867429921388,10.377312751334468,10.377312751334468,10.377312751334468,2.3436084783329485,2.3436084783329485,2.3436084783329485,8.033704273001518,8.033704273001518,8.033704273001518,0.0,0.0,0.0,231.56405574347326
2025-01-07,221.2485335294796,220.90735707051513,241.8849235649018,221.2485335294796,221.2485335294796,9.798985595316953,9.798985595316953,9.798985595316953,2.253330457578475,2.253330457578475,2.253330457578475,7.545655137738477,7.545655137738477,7.545655137738477,0.0,0.0,0.0,231.04751912479657
2025-01-08,221.31032406682044,219.8041852592719,240.9897863735779,221.31032406682044,221.31032406682044,9.194210013641934,9.194210013641934,9.194210013641934,2.1219218799756927,2.1219218799756927,2.1219218799756927,7.07228813366624,7.07228813366624,7.07228813366624,0.0,0.0,0.0,230.50453408046238
2025-01-10,221.43390514150207,219.7801348978526,240.02003092246167,221.43390514150207,221.43390514150207,8.316139422837272,8.316139422837272,8.316139422837272,2.1298425550835707,2.1298425550835707,2.1298425550835707,6.186296867753701,6.186296867753701,6.186296867753701,0.0,0.0,0.0,229.75004456433933
2025-01-13,221.6192767535245,218.16885371433162,239.1623363674151,221.6192767535245,221.6192767535245,7.411694613868045,7.411694613868045,7.411694613868045,2.343608478332694,2.343608478332694,2.343608478332694,5.068086135535351,5.068086135535351,5.068086135535351,0.0,0.0,0.0,229.03097136739254
2025-01-14,221.68106729086534,218.37345374470223,238.86272315826852,221.68106729086534,221.68106729086534,7.018990205092673,7.018990205092673,7.018990205092673,2.253330457579309,2.253330457579309,2.253330457579309,4.7656597475133635,4.7656597475133635,4.7656597475133635,0.0,0.0,0.0,228.70005749595802
2025-01-15,221.74285782820616,218.12242819349152,238.24862776608433,221.74285782820616,221.74285782820616,6.625243287998375,6.625243287998375,6.625243287998375,2.121921879975515,2.121921879975515,2.121921879975515,4.503321408022859,4.503321408022859,4.503321408022859,0.0,0.0,0.0,228.36810111620454
2025-01-16,221.80464836554697,217.1794931236361,238.74163914444696,221.80464836554697,221.80464836554697,6.234256042128867,6.234256042128867,6.234256042128867,1.9508534961531836,1.9508534961531836,1.9508534961531836,4.283402545975682,4.283402545975682,4.283402545975682,0.0,0.0,0.0,228.03890440767583
2025-01-17,221.86643890288775,217.64447141901042,238.77854639125448,221.86643890288775,221.86643890288775,6.237577080059616,6.237577080059616,6.237577080059616,2.1298425550725164,2.1298425550725164,2.1298425550725164,4.1077345249871,4.1077345249871,4.1077345249871,0.0,0.0,0.0,228.10401598294737
2025-01-21,222.11360105225106,217.8286373889277,239.16131615256205,222.11360105225106,222.11360105225106,6.117137077613572,6.117137077613572,6.117137077613572,2.2533304575801427,2.2533304575801427,2.2533304575801427,3.8638066200334302,3.8638066200334302,3.8638066200334302,0.0,0.0,0.0,228.23073812986462
2025-01-22,222.17539158959184,217.93183549022334,238.6070130469987,222.17539158959184,222.17539158959184,6.037797397437325,6.037797397437325,6.037797397437325,2.121921879975412,2.121921879975412,2.121921879975412,3.9158755174619135,3.9158755174619135,3.9158755174619135,0.0,0.0,0.0,228.21318898702916
2025-01-23,222.23718212693265,218.14383954755488,238.71604947007071,222.23718212693265,222.23718212693265,5.960915970221849,5.960915970221849,5.960915970221849,1.9508534961554236,1.9508534961554236,1.9508534961554236,4.010062474066426,4.010062474066426,4.010062474066426,0.0,0.0,0.0,228.1980980971545
2025-01-24,222.29897266427346,217.5516382430205,238.75820264119918,222.29897266427346,222.29897266427346,6.27339166976694,6.27339166976694,6.27339166976694,2.1298425550730173,2.1298425550730173,2.1298425550730173,4.143549114693923,4.143549114693923,4.143549114693923,0.0,0.0,0.0,228.5723643340404
2025-01-27,222.48434427629593,219.63038732253622,239.2441293505476,222.48434427629593,222.48434427629593,7.084568525911969,7.084568525911969,7.084568525911969,2.3436084783150917,2.3436084783150917,2.3436084783150917,4.740960047596878,4.740960047596878,4.740960047596878,0.0,0.0,0.0,229.5689128022079
2025-01-28,222.54613481363674,219.39305068841432,240.5056874801755,222.54613481363674,222.54613481363674,7.242792916207782,7.242792916207782,7.242792916207782,2.253330457574749,2.253330457574749,2.253330457574749,4.989462458633033,4.989462458633033,4.989462458633033,0.0,0.0,0.0,229.78892772984452
2025-01-29,222.60792535097755,219.56291405216018,240.3735117428406,222.60792535097755,222.60792535097755,7.374934166794973,7.374934166794973,7.374934166794973,2.121921879975161,2.121921879975161,2.121921879975161,5.2530122868198115,5.2530122868198115,5.2530122868198115,0.0,0.0,0.0,229.98285951777254
2025-01-30,222.66971588831834,220.22264968409186,240.43679447765487,222.66971588831834,222.66971588831834,7.475930288256973,7.475930288256973,7.475930288256973,1.950853496157663,1.950853496157663,1.950853496157663,5.52507679209931,5.52507679209931,5.52507679209931,0.0,0.0,0.0,230.1456461765753
2025-01-31,222.73150642565918,221.049420544277,240.4948659765213,222.73150642565918,222.73150642565918,7.928585627818524,7.928585627818524,7.928585627818524,2.1298425550895566,2.1298425550895566,2.1298425550895566,5.798743072728968,5.798743072728968,5.798743072728968,0.0,0.0,0.0,230.6600920534777
2025-02-03,222.9168780376816,221.23121058491245,241.6883959278949,222.9168780376816,222.9168780376816,8.900348980682475,8.900348980682475,8.900348980682475,2.3436084783205207,2.3436084783205207,2.3436084783205207,6.556740502361954,6.556740502361954,6.556740502361954,0.0,0.0,0.0,231.8172270183641
2025-02-04,222.97866857502243,221.95634885830336,242.23470839468854,222.97866857502243,222.97866857502243,9.017196284298874,9.017196284298874,9.017196284298874,2.253330457584235,2.253330457584235,2.253330457584235,6.763865826714638,6.763865826714638,6.763865826714638,0.0,0.0,0.0,231.9958648593213
2025-02-05,223.04045911236324,221.97766427173602,242.66551585328818,223.04045911236324,223.04045911236324,9.058147660170443,9.058147660170443,9.058147660170443,2.1219218799759405,2.1219218799759405,2.1219218799759405,6.9362257801945,6.9362257801945,6.9362257801945,0.0,0.0,0.0,232.09860677253369
2025-02-06,223.10224964970408,221.20256353311188,242.50796960429912,223.10224964970408,223.10224964970408,9.017917124914462,9.017917124914462,9.017917124914462,1.9508534961599027,1.9508534961599027,1.9508534961599027,7.067063628754559,7.067063628754559,7.067063628754559,0.0,0.0,0.0,232.12016677461855
2025-02-07,223.16404018704492,222.24589785323235,242.89659693747998,223.16404018704492,223.16404018704492,9.279942524750938,9.279942524750938,9.279942524750938,2.129842555090058,2.129842555090058,2.129842555090058,7.150099969660879,7.150099969660879,7.150099969660879,0.0,0.0,0.0,232.44398271179585
2025-02-10,223.34941179906733,221.58723434365257,242.29551775472657,223.34941179906733,223.34941179906733,9.402979446471525,9.402979446471525,9.402979446471525,2.343608478325951,2.343608478325951,2.343608478325951,7.059370968145575,7.059370968145575,7.059370968145575,0.0,0.0,0.0,232.75239124553886
2025-02-11,223.41120233640817,221.51174754007147,241.8329050535917,223.41120233640817,223.41120233640817,9.155543952417743,9.155543952417743,9.155543952417743,2.253330457578843,2.253330457578843,2.253330457578843,6.902213494838899,6.902213494838899,6.902213494838899,0.0,0.0,0.0,232.5667462888259
2025-02-12,223.47299287374895,221.83392595728097,242.71159077417448,223.47299287374895,223.47299287374895,8.799059265569499,8.799059265569499,8.799059265569499,2.1219218799757633,2.1219218799757633,2.1219218799757633,6.677137385593734,6.677137385593734,6.677137385593734,0.0,0.0,0.0,232.27205213931845
